User_ID,State,City_Tier,Age,Gender,Occupation,Income_INR,Total_Screen_Time,Social_Media_Hours,App_Usage_Category,Notification_Interaction_Rate,Sleep_Hours,Stress_Level,Physical_Activity_Level,Work_Life_Balance_Score
UID00001,Uttar Pradesh,Tier 3,25,Male,Unemployed,6000,7.0,4.0,Social,42.4,7.6,4,High,10
UID00002,Maharashtra,Tier 2,60,Male,Freelancer,626000,7.6,1.8,News,35.3,6.8,6,Medium,9
UID00003,Kerala,Tier 1,26,Female,Corporate,482000,3.5,1.6,Productivity,11.6,7.1,6,Medium,8
UID00004,Rajasthan,Tier 2,34,Male,Tech,662000,7.4,2.4,Productivity,36.3,8.7,5,High,9
UID00005,Maharashtra,Tier 3,20,Male,Tech,92000,4.0,2.1,News,34.0,8.5,2,High,10
UID00006,Tamil Nadu,Tier 2,23,Male,Student,2000,5.6,3.5,Gaming,56.0,7.6,6,High,9
UID00007,Kerala,Tier 2,22,Male,Freelancer,0,15.0,11.7,Social,88.3,4.4,10,Low,6
UID00008,Telangana,Tier 2,48,Male,Freelancer,547000,12.8,1.6,News,60.2,6.3,5,Medium,7
UID00009,Delhi,Tier 3,25,Male,Tech,295000,6.4,2.9,Productivity,27.0,8.0,7,Medium,9
UID00010,Uttar Pradesh,Tier 3,38,Male,Tech,420000,9.7,4.0,News,39.1,5.7,10,Low,4
UID00011,Uttar Pradesh,Tier 1,25,Male,Unemployed,25000,11.7,6.6,Social,73.9,6.5,6,Medium,8
UID00012,Telangana,Tier 2,42,Male,Freelancer,150000,5.4,0.8,Social,25.0,8.0,3,High,10
UID00013,Telangana,Tier 2,40,Female,Corporate,752000,4.9,2.0,Productivity,27.3,6.0,6,Low,7
UID00014,Delhi,Tier 2,20,Female,Student,4000,9.2,6.5,News,60.5,5.8,7,Low,7
UID00015,Maharashtra,Tier 3,23,Male,Unemployed,6000,7.1,5.6,Social,48.1,6.8,6,Medium,8
UID00016,Rajasthan,Tier 2,19,Female,Student,4000,6.5,4.0,Gaming,34.5,6.5,6,Medium,8
UID00017,West Bengal,Tier 2,18,Male,Student,10000,9.1,4.9,Social,47.5,5.9,8,Low,7
UID00018,Maharashtra,Tier 3,26,Female,Corporate,262000,3.5,0.9,Social,22.8,7.4,5,High,9
UID00019,Maharashtra,Tier 1,22,Male,Unemployed,11000,8.8,6.4,News,64.8,6.2,7,Low,9
UID00020,Delhi,Tier 3,24,Male,Tech,40000,5.6,4.4,Social,37.9,7.0,5,Medium,10
UID00021,Uttar Pradesh,Tier 3,34,Male,Corporate,225000,12.2,3.5,Social,41.8,4.2,10,Low,3
UID00022,Uttar Pradesh,Tier 1,23,Male,Student,1000,12.1,6.5,Social,80.6,6.9,6,Medium,8
UID00023,Maharashtra,Tier 2,23,Male,Student,27000,11.1,5.8,Gaming,78.7,6.9,7,Medium,9
UID00024,Kerala,Tier 2,22,Male,Student,14000,9.8,5.9,Gaming,56.3,6.5,5,Medium,7
UID00025,West Bengal,Tier 1,26,Male,Freelancer,233000,5.1,1.3,Social,27.8,6.7,8,Low,6
UID00026,Maharashtra,Tier 2,21,Female,Tech,331000,9.6,4.6,News,62.3,6.0,8,Low,4
UID00027,West Bengal,Tier 3,25,Male,Freelancer,0,4.6,2.6,Social,46.8,8.1,5,High,10
